0	2
1	4
2	16
3	25
4	56
5	90
6	197
7	385
8	657
9	1168
10	1865
11	2692
12	3454
13	4281
14	4825
15	4813
16	4632
17	3954
18	3298
19	2709
20	2267
21	2143
22	1948
23	1849
24	1801
25	1611
26	1474
27	1319
28	1267
29	1160
30	1079
31	1080
32	1031
33	970
34	1022
35	1042
36	1027
37	957
38	1048
39	1063
40	1364
41	1398
42	1348
43	1091
44	900
45	804
46	728
47	658
48	654
49	621
50	543
51	493
52	456
53	417
54	394
55	395
56	346
57	373
58	352
59	363
60	345
61	325
62	341
63	308
64	284
65	294
66	289
67	365
68	358
69	375
70	330
71	275
72	361
73	288
74	301
75	319
76	217
77	278
78	292
79	192
80	237
81	290
82	241
83	184
84	263
85	301
86	215
87	180
88	189
89	238
90	269
91	234
92	196
93	297
94	650
95	1040
96	1711
97	2440
98	3270
99	4167
100	4756
101	4838
102	4867
103	5144
104	5555
105	6753
106	7811
107	8435
108	8587
109	8063
110	6711
111	5311
112	4702
113	4507
114	4523
115	4838
116	5215
117	5412
118	4886
119	4096
120	3509
121	2702
122	1927
123	1450
124	1192
125	1025
126	945
127	873
128	799
129	755
130	756
131	749
132	715
133	666
134	651
135	588
136	561
137	572
138	525
139	556
140	551
141	504
142	483
143	472
144	453
145	471
146	468
147	490
148	446
149	484
150	502
151	542
152	577
153	583
154	530
155	468
156	510
157	542
158	534
159	504
160	565
161	587
162	559
163	613
164	602
165	604
166	591
167	681
168	627
169	663
170	711
171	710
172	790
173	819
174	829
175	863
176	922
177	984
178	1047
179	1100
180	1134
181	1238
182	1344
183	1435
184	1462
185	1532
186	1666
187	1680
188	1751
189	1710
190	1808
191	2029
192	2072
193	2192
194	2177
195	2217
196	2231
197	2156
198	2221
199	2424
200	2375
201	2407
202	2385
203	2329
204	2360
205	2263
206	2319
207	2318
208	2507
209	2852
210	2855
211	3205
212	3339
213	3865
214	4074
215	3704
216	3372
217	3115
218	2802
219	2329
220	2013
221	1663
222	1520
223	1387
224	1310
225	1204
226	1243
227	1220
228	1253
229	1238
230	1243
231	1195
232	735
233	293
234	216
235	253
236	279
237	313
238	315
239	361
240	431
241	465
242	576
243	670
244	801
245	877
246	913
247	995
248	1195
249	1379
250	1153
251	778
252	426
253	153
254	6839
